GRANT_CARD_CODE,TAP_IN,TAP_OUT,TIME_IN,TIME_OUT
20500558,226,252,626,647
14490495,221,258,984,1030
25885664,248,260,1121,1140
87966927,245,266,1135,1189
64720436,269,248,460,534
66317697,128,253,998,1060
16616355,266,261,1038,1062
11717779,110,248,1044,1085
89844209,219,263,1064,1125
12908529,111,256,1040,1061
47335272,167,248,490,530
54328219,113,256,498,527
16360622,266,262,738,754
80066606,253,262,1192,1244
12579447,251,226,1085,1109
79210759,255,260,1062,1094
32375527,219,248,552,585
48903706,258,248,571,585
16252252,166,248,499,530
15642069,46,266,1068,1129
45897027,122,248,1205,1239
89724406,252,254,1170,1177
45632023,47,262,1119,1176
12475347,37,41,1076,1090
8910425,43,41,673,686
87476845,6,45,405,449
60236267,21,45,573,595
39848843,74,48,807,832
17896181,43,42,1274,1280
23949708,114,43,523,579
89847452,209,44,572,592
15071235,35,38,1018,1031
39574816,196,35,559,593
68720648,258,43,1186,1235
65040031,225,44,576,594
75124998,27,38,970,1030
43937116,35,38,931,949
80178413,231,37,626,660
62081023,45,47,761,771
48043094,33,47,601,664
46763352,113,35,544,591
47124534,70,45,1207,1234
19106116,44,49,571,591
49125539,247,262,1152,1186
21700376,265,262,478,493
30847846,49,257,1121,1163
89753856,108,258,1040,1062
45806946,264,257,490,530
18908255,39,253,1107,1160
11788670,69,263,544,646
68852456,265,256,419,463
89587972,228,248,536,571
19204445,220,254,1308,1333
37464208,165,252,443,473
20218445,35,265,1233,1318
15031354,35,258,1207,1269
45743809,125,262,659,737
53541181,47,257,1125,1162
84090139,37,248,1046,1100
89656165,264,248,535,572
43449929,113,252,625,662
15696365,261,248,652,682
982388,217,264,1069,1124
16366366,264,262,1226,1241
74367382,99,266,1040,1125
87020867,254,248,877,899
15225684,252,255,1170,1182
44951799,247,108,1102,1125
54305334,256,263,864,902
20343681,228,262,835,900
68151583,248,266,1115,1154
51810293,36,264,1047,1124
87355317,259,253,1205,1241
17122617,6,256,672,740
6184245,147,263,836,901
44782188,246,265,1077,1125
26075428,65,265,1105,1201
87686129,166,248,550,584
25276837,213,264,1115,1181
67756079,44,248,1065,1109
12519492,202,258,446,517
54597762,246,264,1062,1108
72551942,226,160,580,591
54430301,261,266,976,997
89116650,248,255,1240,1255
67174078,215,258,1100,1136
14298579,226,160,582,600
88847952,257,252,563,592
54215882,166,260,475,520
11469587,227,258,1107,1137
16359921,262,226,961,989
11909982,257,226,547,562
15553340,266,248,1038,1080
61277799,250,160,566,599
48271325,43,260,516,575
46885321,77,257,1022,1109
18300774,160,254,992,1002
61230720,219,257,463,504
14580426,95,258,1012,1077
75314056,113,253,634,684
11101795,44,266,1072,1183
46037850,260,264,1244,1266
15604909,234,257,1142,1258
78341011,248,252,506,533
72295220,242,252,475,533
62739032,264,248,746,786
46010791,216,160,524,540
16119679,218,248,683,723
16442857,248,255,413,428
61315504,265,226,1233,1272
70527626,163,252,541,568
48442822,262,248,467,497
50458449,248,253,1331,1355
19221295,7,258,1002,1077
44241252,248,258,739,755
15734815,228,248,552,585
16515372,249,266,1076,1130
88123637,245,265,1118,1166
15237157,250,248,1067,1084
28720003,258,248,396,406
12519589,13,258,464,527
28729784,108,248,514,529
12940152,74,262,1098,1176
89860771,265,248,586,626
446317,44,264,420,484
21864332,35,248,1084,1138
39334495,262,265,419,433
16366717,248,262,1244,1245
16462443,256,248,617,626
53600731,260,226,514,540
72481837,138,42,1123,1147
44949412,40,37,1275,1286
54299024,14,47,434,461
19270631,66,40,410,423
16917705,163,40,369,424
71539544,163,38,563,610
78020166,166,35,810,860
39889626,12,48,1126,1145
26408305,4,46,1090,1146
74607571,245,48,1244,1288
50806679,26,45,558,594
22570843,6,47,619,662
32487396,8,50,1165,1197
52728275,229,38,415,459
74874456,227,44,564,594
79499672,198,35,1045,1089
85052092,63,45,468,513
39991704,113,255,493,523
52989974,248,260,1294,1316
12602868,35,255,638,687
60417552,99,262,1170,1234
70473431,7,160,509,559
18487337,265,255,721,773
82999188,264,263,1210,1216
89558035,258,260,1306,1316
15737333,248,262,1208,1235
54100794,263,266,1347,1361
65396150,26,226,530,606
61897616,216,264,788,840
10395263,242,255,468,524
74005725,63,35,430,456
25169899,108,36,449,449
22808190,164,46,412,452
17232687,62,45,532,572
52347962,2,43,1076,1128
87893067,265,248,581,617
50347812,148,252,627,696
79071586,255,262,1190,1228
20141760,19,253,996,1050
18797754,113,248,439,439
13917677,115,262,1140,1228
19203258,243,252,1294,1338
2857096,45,262,1058,1112
11724597,203,254,345,423
54192451,167,248,489,535
16352973,255,259,1026,1050
75729550,197,257,458,535
15321202,46,37,754,777
72819775,46,48,1080,1090
52111935,23,43,354,382
2123486,19,46,1057,1072
5369714,207,45,472,507
3497646,50,44,1165,1184
42751958,168,44,447,502
75302901,250,36,556,616
12375960,38,48,662,687
50854217,165,37,432,480
86940432,264,49,354,424
75621182,220,45,472,505
86354363,231,43,683,735
43628876,210,48,1168,1191
68678499,120,46,813,834
75775169,160,47,740,770
42768334,22,48,1162,1191
87204062,37,46,898,924
7202129,46,47,1183,1193
52327732,108,43,776,832
39044679,38,48,1165,1187
624243,68,46,386,421
74263987,46,49,1179,1189
72953571,67,35,906,925
51580386,130,42,990,1031
50681618,20,50,703,734
6178601,225,44,560,578
16744663,270,37,600,660
5663277,39,45,1008,1032
36343507,226,253,679,710
17936389,264,254,816,866
30680774,155,256,961,1007
85919447,264,265,1033,1039
12522673,260,258,642,697
71171989,248,257,1120,1128
44750171,44,254,997,1054
15694506,261,253,615,669
42321770,225,45,554,571
4026627,137,35,692,724
15818069,232,44,474,515
11732041,11,43,700,724
78384013,36,35,1087,1094
54376097,44,43,715,726
88713545,166,40,382,452
39872409,96,35,1096,1132
74325712,17,35,1071,1097
80135070,254,261,1047,1086
72477538,162,252,553,573
1447561,260,266,1004,1026
52259411,19,253,1226,1287
54040767,46,261,901,949
45360709,223,266,1108,1190
71447118,260,255,801,837
25384090,106,252,544,572
11116384,233,262,1075,1140
82686349,131,262,974,1051
87390225,114,248,500,535
82251743,37,262,1331,1409
11466223,109,255,818,838
48380180,76,46,1097,1138
47752902,45,35,876,896
46658736,36,48,1119,1135
75884767,87,50,1028,1091
79837490,220,40,648,688
36095002,146,36,466,502
42892236,47,35,490,505
80847501,123,46,1069,1092
44960799,114,45,465,506
26657457,82,42,939,1091
53353934,38,42,1062,1072
6203073,121,40,1141,1168
27075348,124,42,868,892
43963421,39,43,469,482
1963497,19,48,842,863
75239985,65,38,1214,1232
44765819,49,46,654,664
11067534,229,43,702,770
82862675,261,43,713,774
60793873,50,46,402,424
15818409,232,42,698,737
6216164,107,46,1156,1176
16628012,40,46,402,424
18584168,100,50,990,1028
78536732,58,35,542,591
45284580,22,41,1172,1195
51614935,111,50,1244,1280
14340467,123,35,556,595
67619785,34,43,398,455
75899817,164,48,1161,1197
14142933,169,160,559,594
44356811,124,248,547,569
17397925,255,252,479,493
17796285,226,262,1064,1101
18966374,43,259,751,895
16195700,257,252,442,472
27913371,50,264,871,946
86916841,34,256,439,529
2723964,254,264,1125,1178
19653599,51,261,913,1041
34750225,269,248,381,444
65184288,247,264,816,857
42637721,264,226,987,1023
80023006,182,264,1098,1209
69873378,124,264,1147,1209
49969787,158,252,882,911
61083763,252,264,1122,1178
42074697,229,265,1176,1245
49124833,249,259,1036,1060
16193909,257,248,524,536
15598358,58,266,598,717
78110213,108,264,992,1040
15059047,255,264,426,474
70386772,264,248,501,536
12888878,136,253,1064,1151
80697808,43,265,764,860
16040351,23,264,1134,1209
72091662,266,264,464,474
19289826,166,265,431,492
50672241,227,258,1274,1301
19578970,42,256,691,764
69305051,263,265,536,547
35147822,266,258,517,550
14956848,49,261,559,618
72158726,170,253,1020,1084
80856536,209,260,1118,1185
14315650,254,258,1055,1081
71242581,112,248,512,545
12952306,167,258,1014,1076
52534290,267,248,482,545
66374089,110,252,489,523
54465965,149,263,1084,1160
44292781,157,248,517,546
70491344,41,264,1191,1267
12911476,111,160,587,616
12208715,114,248,612,650
12167437,105,258,813,850
51767715,44,253,1021,1060
16192914,248,258,1137,1151
48175883,264,160,686,736
89758603,101,264,1023,1099
12726604,254,264,1049,1098
51375210,117,262,575,660
13027721,46,265,1096,1166
36449424,160,264,491,539
19711440,37,262,1102,1176
54093170,93,262,351,437
66440184,77,261,1171,1239
16873642,157,253,1035,1060
54473922,259,254,516,548
11574895,264,255,482,528
18186267,47,265,1140,1206
15399568,226,254,509,529
86112615,250,257,952,976
15180821,47,266,1063,1129
63228029,87,254,426,519
24822877,94,43,1163,1196
83055962,81,43,529,582
89668860,62,35,412,442
46856810,133,44,538,579
69007979,57,38,362,398
54106961,41,46,906,928
83725140,163,47,429,461
31114926,44,37,1168,1195
78860099,19,41,1181,1195
13752078,157,46,1154,1175
83360533,72,48,830,849
15563691,126,35,370,410
47720714,77,44,535,592
14837521,96,50,554,596
69788010,21,50,782,814
51099715,147,40,684,723
1161145,201,35,440,474
47465816,43,46,554,571
12541435,22,46,1104,1131
667182,129,39,1082,1129
65581406,65,35,532,558
47119118,44,35,1073,1095
39304827,175,45,396,475
52299492,111,43,977,1027
43588499,36,35,1086,1094
48891414,49,46,444,454
14465123,47,35,1076,1090
79814558,77,45,437,472
1921929,38,45,451,471
75228713,65,36,473,517
48307487,148,37,728,774
4014065,95,35,673,722
60040530,116,38,545,570
78599627,231,40,1091,1128
53109420,203,35,986,1028
18488451,164,260,1054,1105
42532474,255,262,1372,1410
25043133,193,263,395,480
51329807,108,262,1077,1111
82567886,203,262,1194,1292
2108108,124,254,883,930
45472777,266,262,487,502
16349201,22,265,765,844
